"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:4095,1557
image:Art Tracker Paintings/A Walk to Boca - oil on panel 12 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Walk to Boca - oil on panel 12 x 30.jpg",,"166",,2015-04-05,"Sold","A Walk to Boca",,"SOLD",12,30,1,"oil on panel
"
"size:4095,1557
image:Art Tracker Paintings/A Walk to Boca - oil on panel 12 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Walk to Boca - oil on panel 12 x 30.jpg",,"170",,2015-04-06,"Sold","A Walk to Boca",,"SOLD",12,30,1,"oil on panel
"
"size:1137,1535
image:Art Tracker Paintings/Amys House 2 - oil on canvas 24 x18.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Amys House 2 - oil on canvas 24 x18.jpg",,"116",,2012-03-15,,"Amy's House",1000,"Vancouver home",24,18,,"Oil on canvas"
"size:3674,2735
image:Art Tracker Paintings/Arbutus at Gibsons-  oil on canvas 18 x 24 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Arbutus at Gibsons-  oil on canvas 18 x 24 framed.jpg",,"106",,2012-03-15,,"Arbutus Near Gibsons",1100,"Vancouver home",18,24,,"Oil on canvas"
"size:2340,1576
image:Art Tracker Paintings/Aspens In Winter - Acrylic On Canvas 24 x 36.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Aspens In Winter - Acrylic On Canvas 24 x 36.jpg",,"40",,2012-02-23,,"Aspens In Winter",1700,"Galeria Uno",24,36,,"Acrylic"
"size:491,366
image:Art Tracker Paintings/At  Rivendell-  oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/At  Rivendell-  oil on canvas 18 x 24.jpg",,"96",,2012-03-15,,"At Rivendell",1100,"Vancouver home",18,24,,"Oil on canvas"
"size:2204,1576
image:Art Tracker Paintings/At The Community Garden - watercolor10 x 14.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/At The Community Garden - watercolor10 x 14.jpg",,"62",,2012-03-13,,"At the Community Garden",650,"SOLD",10,14,,"Watercolor"
"size:1336,1808
image:Art Tracker Paintings/At the Gumboot -watercolour 14 x 10.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/At the Gumboot -watercolour 14 x 10.jpg",,"32",,2012-02-16,"Available","At the Gumboot",650,"SOLD",14,10,,"Watercolor"
"size:864,576
image:Art Tracker Paintings/August Day 24x36.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/August Day 24x36.jpg",,"105",,2012-03-15,,"August Day",1550,"Vancouver home",24,36,,"Oil on canvas"
"size:464,450
image:Art Tracker Paintings/Autumn Still Life- oil on canvas 26x27.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Autumn Still Life- oil on canvas 26x27.jpg",,"95",,2012-03-15,,"Autumn Still Life",1500,"Vancouver home",26,27,,"Oil on canvas"
"size:3813,2722
image:Art Tracker Paintings/Beach at Hollyhock -  oil on canvas 20 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Beach at Hollyhock -  oil on canvas 20 x 30.jpg",,"34",,2012-02-16,,"Beach at Hollyhock",1300,"Vancouver home",20,28,,"Acrylic"
